Geneid	Chr	Start	End	Strand	Length	70aU	70bU	70ai	70bi	RAD50-3U	RAD50-4U	RAD50-3i	RAD50-4i
Tb427_000402800	Chr6_3A_Tb427v10	762598	762865	-	268	0	0	0	0	0	0	0	4
Tb427_090014500	Chr9_core_Tb427v10	242953	243537	-	585	0	38	6	4	16	5	6	11
Tb427_110179200	Chr11_core_Tb427v10	4327414	4328613	-	1200	0	9	0	0	0	0	0	0
Tb427_000598300	Chr9_3A_Tb427v10	1418557	1420170	-	1614	0	0	0	0	0	0	0	0
Tb427_100078700	Chr10_core_Tb427v10	1831515	1834703	-	3189	0	4	0	0	8	0	3	0
Tb427_100066200	Chr10_core_Tb427v10	1562075	1562389	-	315	0	0	0	0	0	2	0	0
Tb427_000813700:pseudogene	unitig_2996_Tb427v10	25998	26357	+	360	0	0	0	0	0	0	0	0
Tb427_000146000:pseudogene	Chr11_3B_Tb427v10	45005	46540	-	1536	0	0	0	0	0	0	0	0
Tb427_040043200	Chr4_core_Tb427v10	993370	995421	-	2052	0	2	0	0	26	0	3	0
Tb427_060017500	Chr6_core_Tb427v10	396949	398304	-	1356	0	2	0	0	3	2	0	4
Tb427_110051200	Chr11_core_Tb427v10	1298849	1300171	+	1323	0	0	0	0	0	0	2	0
Tb427_000836000:pseudogene	unitig_427_Tb427v10	43286	45164	+	1879	0	43	20	4	0	25	6	16
Tb427_100133800	Chr10_core_Tb427v10	3059345	3061237	-	1893	0	0	0	0	0	0	0	0
Tb427_000463800	Chr7_5A_Tb427v10	305904	307472	+	1569	0	0	0	0	0	0	0	0
Tb427_000598400	Chr9_3A_Tb427v10	1420543	1421283	-	741	0	0	0	0	0	0	0	0
Tb427_000390400:pseudogene	Chr6_3A_Tb427v10	372370	372981	-	612	0	0	0	0	0	3	57	95
Tb427_000638200	unitig_166_Tb427v10	45774	49085	+	3312	20	20	0	12	16	32	0	19
Tb427_080029000	Chr8_core_Tb427v10	622348	625644	+	3297	0	0	0	4	0	0	0	0
Tb427_000056300:pseudogene	Chr10_3A_Tb427v10	956560	959262	+	2703	0	0	0	0	0	0	0	0
Tb427_110177700	Chr11_core_Tb427v10	4287824	4288225	-	402	0	2	0	4	16	3	2	4
Tb427_000254800:pseudogene	Chr1_3B_Tb427v10	318545	318781	-	237	0	0	0	0	0	0	0	0
Tb427_000209700:pseudogene	Chr1_3A_Tb427v10	1037806	1038280	-	475	0	0	0	0	0	0	0	0
Tb427_000761800:pseudogene	unitig_2342_Tb427v10	11887	12302	+	416	0	0	0	0	0	0	0	0
Tb427_070054000	Chr7_core_Tb427v10	1270653	1271657	-	1005	0	0	0	0	0	2	2	2
Tb427_080076100	Chr8_core_Tb427v10	1896200	1898701	+	2502	0	0	0	0	0	8	0	0
Tb427_110088800	Chr11_core_Tb427v10	2265556	2265762	+	207	0	2	0	0	3	0	0	4
Tb427_000291900:pseudogene	Chr3_5A_Tb427v10	109512	110183	+	672	0	0	0	0	0	0	0	0
Tb427_000410400:pseudogene	Chr6_3A_Tb427v10	995767	997181	-	1415	0	0	0	2	0	4	10	20
Tb427_000352300	Chr5_3A_Tb427v10	85894	87280	-	1387	0	2	0	0	0	0	2	0
Tb427_110074100	Chr11_core_Tb427v10	1916042	1921039	-	4998	0	0	0	0	0	0	4	6
Tb427_000543000	Chr8_5B_Tb427v10	579772	580137	+	366	0	0	0	0	0	0	0	0
Tb427_000666000:pseudogene	unitig_1881_Tb427v10	26	401	-	376	0	0	0	0	0	0	0	0
Tb427_000623300:pseudogene	Chr9_5A_Tb427v10	224912	226353	+	1442	0	0	0	0	0	0	0	0
Tb427_000732300	unitig_219_Tb427v10	11533	12840	+	1308	0	0	0	0	0	0	0	0
Tb427_030041100	Chr3_core_Tb427v10	926419	927555	+	1137	0	0	0	0	0	0	0	0
Tb427_060023700	Chr6_core_Tb427v10	519887	521899	-	2013	0	0	0	0	0	0	0	2
Tb427_030023600	Chr3_core_Tb427v10	481597	482925	+	1329	0	0	0	0	1	0	0	5
Tb427_000455900:pseudogene	Chr7_5A_Tb427v10	81340	82312	+	973	0	0	0	0	0	0	0	0
Tb427_040055900	Chr4_core_Tb427v10	1347586	1348788	-	1203	0	8	8	0	4	2	6	2
Tb427_000280600:pseudogene	Chr2_5A_Tb427v10	73223	74076	+	854	0	0	0	0	0	0	0	0
Tb427_000778800	unitig_2481_Tb427v10	6511	7473	-	963	0	2	0	4	1	8	1	6
Tb427_100042500	Chr10_core_Tb427v10	968110	979815	-	11706	0	3	8	2	12	12	4	0
Tb427_000261700:pseudogene	Chr1_3B_Tb427v10	517654	518760	-	1107	0	0	0	0	0	0	6	4
Tb427_000587300	Chr9_3A_Tb427v10	1078088	1078570	+	483	0	0	0	0	0	6	0	0
Tb427_000365600	Chr5_3A_Tb427v10	491105	492577	-	1473	0	0	0	0	0	0	0	0
Tb427_070050300	Chr7_core_Tb427v10	1189742	1194673	-	4932	0	0	6	0	0	1	1	8
Tb427_000151800	Chr11_3B_Tb427v10	218303	219625	-	1323	0	0	0	0	0	0	0	0
Tb427_110177800	Chr11_core_Tb427v10	4288537	4291401	-	2865	0	4	0	0	6	0	0	2
Tb427_050026700	Chr5_core_Tb427v10	704001	705215	-	1215	0	0	0	0	0	0	0	0
Tb427_000167200:pseudogene	Chr11_3B_Tb427v10	710044	710931	+	888	0	0	0	0	0	0	0	0
Tb427_000813500	unitig_2996_Tb427v10	19779	20189	-	411	1	0	0	0	0	0	0	0
Tb427_100091200	Chr10_core_Tb427v10	2088733	2090316	+	1584	9	43	2	8	50	80	4	12
Tb427_070011300	Chr7_core_Tb427v10	162836	164539	-	1704	0	0	2	0	14	11	0	1
Tb427_080086900	Chr8_core_Tb427v10	2278664	2280814	+	2151	0	6	0	0	0	2	2	2
Tb427_000597100	Chr9_3A_Tb427v10	1388923	1389416	-	494	0	0	0	0	0	0	0	0
Tb427_080073400	Chr8_core_Tb427v10	1829518	1831302	-	1785	0	20	5	0	20	17	2	2
Tb427_110126500	Chr11_core_Tb427v10	3014962	3015405	+	444	0	5	0	0	0	0	0	0
Tb427_040016300	Chr4_core_Tb427v10	284737	286119	-	1383	0	0	0	0	0	0	0	0
Tb427_110080900	Chr11_core_Tb427v10	2075595	2077490	-	1896	0	0	0	6	0	4	0	2
Tb427_050007600:pseudogene	Chr5_core_Tb427v10	112050	112538	-	489	0	0	0	0	0	0	0	0
Tb427_100017400	Chr10_core_Tb427v10	307260	307907	-	648	0	1	0	0	1	0	0	1
Tb427_000065100	Chr10_3A_Tb427v10	1290083	1291588	-	1506	0	0	0	0	0	0	0	0
Tb427_000826800:pseudogene	unitig_313_Tb427v10	2348	4219	-	1872	3	13	1	3	12	20	7	10
Tb427_100130200	Chr10_core_Tb427v10	2979954	2980349	+	396	0	0	0	0	0	0	0	0
Tb427_000537600	Chr8_5B_Tb427v10	412964	414334	+	1371	0	0	0	0	0	0	0	0
Tb427_010024700	Chr1_core_Tb427v10	579301	580392	-	1092	0	0	2	2	2	0	0	2
Tb427_100050900	Chr10_core_Tb427v10	1168859	1169755	-	897	0	0	0	0	0	0	0	0
Tb427_090042800	Chr9_core_Tb427v10	979106	980521	-	1416	0	16	1	2	30	2	0	2
Tb427_000473000:pseudogene	Chr7_5A_Tb427v10	572731	573610	+	880	0	0	0	0	0	0	0	0
Tb427_040044400	Chr4_core_Tb427v10	1021743	1022597	-	855	0	0	0	0	0	0	0	0
Tb427_000533700:pseudogene	Chr8_5B_Tb427v10	292467	292856	+	390	0	0	0	0	0	0	0	0
Tb427_080072500	Chr8_core_Tb427v10	1798147	1799262	-	1116	0	0	0	0	0	0	0	0
Tb427_110085400	Chr11_core_Tb427v10	2176411	2178054	-	1644	0	11	5	6	34	7	7	6
Tb427_090039300	Chr9_core_Tb427v10	888732	890216	+	1485	0	0	0	8	0	0	2	0
Tb427_090028300	Chr9_core_Tb427v10	609439	610626	+	1188	0	0	0	0	0	0	0	0
Tb427_070026300	Chr7_core_Tb427v10	540534	544979	-	4446	0	6	18	0	0	0	2	10
Tb427_000632700	Tb427VSG-542_unitig_Tb427v10	10171	11643	+	1473	0	0	0	0	4	2	50	100
Tb427_110106300	Chr11_core_Tb427v10	2663594	2664085	-	492	0	10	8	2	8	0	0	0
Tb427_000512900:pseudogene	Chr8_5A_Tb427v10	377282	378106	+	825	0	0	0	0	0	0	0	0
Tb427_000494600	Chr8_3A_Tb427v10	322768	324237	+	1470	67	40	0	0	20	44	125	125
Tb427_000221400:pseudogene	Chr1_3A_Tb427v10	1398352	1399849	+	1498	0	0	0	0	0	0	0	0
Tb427_000812000:pseudogene	unitig_2969_Tb427v10	4658	5154	+	497	0	0	0	0	0	0	0	0
Tb427_070042800	Chr7_core_Tb427v10	976311	978833	-	2523	0	14	0	0	7	13	2	0
Tb427_000662200	unitig_1863_Tb427v10	14899	15225	-	327	0	0	0	0	0	0	0	0
Tb427_000812400:pseudogene	unitig_2969_Tb427v10	10785	11760	-	976	67	46	15	2	9	23	0	8
Tb427_110159400	Chr11_core_Tb427v10	3821879	3822865	+	987	0	12	0	0	0	0	0	0
Tb427_000085800:pseudogene	Chr10_3B_Tb427v10	326024	327178	+	1155	0	0	0	0	0	0	0	0
Tb427_110071300	Chr11_core_Tb427v10	1835218	1837056	-	1839	0	0	0	0	0	0	0	0
Tb427_000042800:pseudogene	Chr10_3A_Tb427v10	543399	543924	-	526	0	0	0	0	0	0	0	0
Tb427_000039400	Chr10_3A_Tb427v10	451555	453027	-	1473	0	0	0	0	0	0	0	0
Tb427_000851800	Chr1_3A_Tb427v10	1767024	1768493	+	1470	0	0	0	0	0	0	0	0
Tb427_080072200	Chr8_core_Tb427v10	1792147	1793061	-	915	0	0	2	0	0	0	0	0
Tb427_090081500:pseudogene	Chr9_core_Tb427v10	1865347	1869339	-	3993	0	35	0	0	11	5	0	6
Tb427_000157500:pseudogene	Chr11_3B_Tb427v10	416661	418008	-	1348	0	0	0	0	0	0	0	0
Tb427_060024200	Chr6_core_Tb427v10	531307	532281	-	975	0	8	0	2	0	0	0	4
Tb427_000518800	Chr8_5A_Tb427v10	577131	578468	+	1338	0	0	0	0	0	0	0	0
Tb427_080042900	Chr8_core_Tb427v10	1014545	1016356	-	1812	0	0	0	0	7	0	0	0
Tb427_070028600	Chr7_core_Tb427v10	609258	610526	-	1269	0	4	0	0	0	0	0	2
Tb427_000219500:pseudogene	Chr1_3A_Tb427v10	1337123	1338575	-	1453	0	0	0	0	0	0	0	0
Tb427_090087800	Chr9_core_Tb427v10	2037905	2038660	+	756	0	0	0	0	0	0	0	0
Tb427_000379700	Chr6_3A_Tb427v10	38021	39610	-	1590	0	0	0	0	0	0	0	0
Tb427_000371800	Chr5_3B_Tb427v10	173226	174860	-	1635	0	0	0	0	0	0	16	10
Tb427_000184500:pseudogene	Chr1_3A_Tb427v10	298416	299737	-	1322	0	0	0	0	0	0	4	0
Tb427_000313700:pseudogene	Chr4_3A_Tb427v10	260120	261141	-	1022	0	0	0	0	0	0	0	0
Tb427_060035500	Chr6_core_Tb427v10	793368	794090	+	723	0	0	0	0	0	0	0	0
Tb427_000132100:pseudogene	Chr11_3A_Tb427v10	696175	696930	+	756	0	0	0	0	0	0	0	0
Tb427_040009100	Chr4_core_Tb427v10	124410	124727	-	318	0	0	0	0	6	0	0	0
Tb427_030021100	Chr3_core_Tb427v10	439462	442308	-	2847	0	13	3	2	18	0	3	8
Tb427_020006200	Chr2_core_Tb427v10	42588	43955	+	1368	0	12	0	2	9	0	2	1
Tb427_070058200	Chr7_core_Tb427v10	1386046	1388241	+	2196	0	0	0	0	0	0	0	0
Tb427_000329000:pseudogene	Chr4_3A_Tb427v10	733513	734375	-	863	0	0	0	0	0	0	0	0
Tb427_000155500:pseudogene	Chr11_3B_Tb427v10	349397	350212	+	816	0	0	0	0	0	0	0	0
Tb427_000698300:pseudogene	unitig_1997_Tb427v10	2807	3124	+	318	0	1	0	0	1	0	1	0
Tb427_110138400	Chr11_core_Tb427v10	3309748	3311514	+	1767	0	0	0	0	0	0	0	0
Tb427_070077300	Chr7_core_Tb427v10	1983965	1986031	-	2067	0	0	0	0	0	8	0	0
Tb427_110091700	Chr11_core_Tb427v10	2344303	2345763	+	1461	0	0	0	0	0	0	0	0
Tb427_040054600	Chr4_core_Tb427v10	1321430	1325263	-	3834	0	0	0	0	0	2	0	0
Tb427_110089800	Chr11_core_Tb427v10	2296875	2300924	+	4050	229	231	31	18	3	3	0	8
Tb427_080024300	Chr8_core_Tb427v10	528704	529804	+	1101	0	17	16	8	16	30	2	8
Tb427_000188700:pseudogene	Chr1_3A_Tb427v10	432148	434784	+	2637	0	0	0	0	0	0	0	0
Tb427_000732800:pseudogene	unitig_219_Tb427v10	23154	23617	-	464	0	0	0	0	0	0	0	0
Tb427_020030900	Chr2_core_Tb427v10	788010	789368	+	1359	11	0	8	2	4	22	6	10
Tb427_000237300:pseudogene	Chr1_3A_Tb427v10	1907342	1908149	-	808	0	0	0	0	0	0	0	0
Tb427_050026300	Chr5_core_Tb427v10	677832	678923	+	1092	0	0	0	0	0	4	0	0
Tb427_000204100	Chr1_3A_Tb427v10	875123	876634	-	1512	0	0	0	0	0	0	5	0
Tb427_000685000:pseudogene	unitig_191_Tb427v10	26755	29463	-	2709	0	0	0	0	0	0	0	0
Tb427_060007600	Chr6_core_Tb427v10	97138	98352	-	1215	0	2	0	0	0	0	0	0
Tb427_040017300	Chr4_core_Tb427v10	302415	308918	-	6504	0	16	0	2	0	12	2	0
Tb427_010007300	Chr1_core_Tb427v10	59144	61552	-	2409	0	0	0	0	0	0	0	6
Tb427_050030900	Chr5_core_Tb427v10	841981	845091	+	3111	0	0	0	2	18	9	0	5
Tb427_000449800	Chr6_3B_Tb427v10	935830	937296	-	1467	0	0	0	0	0	0	0	0
Tb427_040017100	Chr4_core_Tb427v10	297434	299596	-	2163	0	0	0	0	0	2	4	0
Tb427_020015800	Chr2_core_Tb427v10	330598	331914	+	1317	1	12	12	0	9	2	0	10
Tb427_030041200	Chr3_core_Tb427v10	927957	929012	+	1056	0	3	0	0	0	0	0	0
Tb427_000616400:pseudogene	Chr9_5A_Tb427v10	19490	21010	+	1521	0	0	0	0	0	0	0	0
Tb427_060012100	Chr6_core_Tb427v10	265856	271174	-	5319	0	0	0	0	1	6	1	0
Tb427_000421600	Chr6_3B_Tb427v10	39469	40005	-	537	0	0	0	0	0	0	0	0
Tb427_110133400	Chr11_core_Tb427v10	3192373	3193860	+	1488	53	93	6	8	46	56	11	20
Tb427_000525400:pseudogene	Chr8_5B_Tb427v10	44935	45812	+	878	0	0	0	0	0	0	0	0
Tb427_110140800	Chr11_core_Tb427v10	3367046	3368713	+	1668	0	0	0	0	18	11	5	14
Tb427_070042300	Chr7_core_Tb427v10	960471	960809	-	339	0	0	0	0	0	0	0	0
Tb427_000633300	Tb427VSG-618_unitig_Tb427v10	21512	21931	+	420	0	0	0	0	0	0	0	0
Tb427_000169600:pseudogene	Chr11_3B_Tb427v10	787665	789118	+	1454	0	28	4	2	34	9	148	259
Tb427_000547000:pseudogene	Chr8_5B_Tb427v10	725936	726868	+	933	0	0	0	0	0	0	0	0
Tb427_000723200:pseudogene	unitig_2169_Tb427v10	10208	10570	-	363	0	0	0	0	0	0	0	0
Tb427_000691700	unitig_1962_Tb427v10	21116	22513	-	1398	0	0	0	0	2	0	0	0
Tb427_000586100	Chr9_3A_Tb427v10	1051629	1052903	-	1275	0	0	0	0	0	0	0	0
Tb427_000251200:pseudogene	Chr1_3B_Tb427v10	194331	195572	-	1242	0	0	0	0	0	0	11	12
Tb427_110053700	Chr11_core_Tb427v10	1359623	1361023	+	1401	0	0	0	0	0	0	0	4
Tb427_000744900:pseudogene	unitig_2229_Tb427v10	21341	21803	-	463	0	0	0	0	0	0	0	0
Tb427_080050700	Chr8_core_Tb427v10	1238253	1239257	-	1005	0	2	5	0	9	7	3	3
Tb427_080087600	Chr8_core_Tb427v10	2303546	2306116	+	2571	0	4	0	0	0	0	2	0
Tb427_110098200	Chr11_core_Tb427v10	2491901	2493094	+	1194	0	28	4	0	38	18	7	13
Tb427_000847500	Chr10_3B_Tb427v10	803867	804802	+	936	0	0	0	0	0	0	0	0
Tb427_100098200	Chr10_core_Tb427v10	2252381	2254624	+	2244	0	0	0	0	10	9	0	7
Tb427_100100600	Chr10_core_Tb427v10	2309420	2309684	+	265	0	0	0	0	0	0	0	0
Tb427_000367200	Chr5_3B_Tb427v10	18538	19359	-	822	0	0	0	0	0	0	0	0
Tb427_110168200	Chr11_core_Tb427v10	4057832	4059355	-	1524	0	0	0	0	5	0	4	3
Tb427_110008400	Chr11_core_Tb427v10	73583	73861	-	279	7	8	4	0	8	8	4	7
Tb427_000446500:pseudogene	Chr6_3B_Tb427v10	826535	827864	-	1330	0	0	0	0	0	0	7	19
Tb427_100084500	Chr10_core_Tb427v10	1952576	1953496	-	921	0	14	3	0	0	14	2	0
Tb427_000515400	Chr8_5A_Tb427v10	460963	462261	+	1299	0	0	0	0	0	0	0	0
Tb427_040012100	Chr4_core_Tb427v10	198103	199575	-	1473	29	61	12	13	25	40	8	7
Tb427_050046100	Chr5_core_Tb427v10	1278153	1280168	+	2016	0	16	2	0	0	0	2	4
Tb427_090080000	Chr9_core_Tb427v10	1814718	1815731	-	1014	0	15	4	4	0	4	2	1
Tb427_000139400	Chr11_3A_Tb427v10	907981	909657	+	1677	0	0	0	0	0	0	0	0
Tb427_100027000	Chr10_core_Tb427v10	546762	548285	+	1524	0	15	0	0	32	4	2	13
Tb427_000708900:pseudogene	unitig_2087_Tb427v10	56011	57968	-	1958	0	0	0	0	0	2	0	0
Tb427_000755400:pseudogene	unitig_2332_Tb427v10	41846	43054	+	1209	51	2	0	4	4	11	6	6
Tb427_090080300	Chr9_core_Tb427v10	1832720	1834057	-	1338	29	32	2	4	37	16	11	8
Tb427_000208200:pseudogene	Chr1_3A_Tb427v10	987183	988679	-	1497	0	0	0	0	0	0	0	0
Tb427_000479900	Chr7_5A_Tb427v10	758639	759871	+	1233	0	0	0	0	0	0	0	2
Tb427_110189100	Chr11_core_Tb427v10	4597566	4600319	-	2754	0	4	0	2	0	0	0	2
Tb427_000386900:pseudogene	Chr6_3A_Tb427v10	268731	270308	-	1578	0	0	0	0	0	0	0	0
Tb427_060036600	Chr6_core_Tb427v10	817336	830901	+	13566	50	26	5	6	6	10	2	15
Tb427_000235000:pseudogene	Chr1_3A_Tb427v10	1830020	1830428	+	409	0	0	0	0	0	0	0	0
Tb427_000434800:pseudogene	Chr6_3B_Tb427v10	443348	444760	-	1413	0	0	0	0	0	0	0	0
Tb427_110143600	Chr11_core_Tb427v10	3453916	3454971	+	1056	0	4	0	0	4	2	0	0
Tb427_060025000	Chr6_core_Tb427v10	554715	555281	-	567	0	0	0	0	0	0	0	0
Tb427_100036200	Chr10_core_Tb427v10	795046	796779	+	1734	0	0	0	0	15	0	4	4
Tb427_070065400	Chr7_core_Tb427v10	1592104	1593894	+	1791	9	9	0	0	19	2	2	16
Tb427_100071000	Chr10_core_Tb427v10	1679898	1680659	+	762	0	14	0	4	8	0	12	0
Tb427_000646400:pseudogene	unitig_1840_Tb427v10	6587	7052	+	466	0	0	0	0	0	0	0	0
Tb427_000531400:pseudogene	Chr8_5B_Tb427v10	218414	219903	+	1490	0	0	0	0	0	0	0	0
Tb427_050007100	Chr5_core_Tb427v10	82011	82661	-	651	0	0	0	0	0	0	0	4
Tb427_020007100	Chr2_core_Tb427v10	74884	76494	-	1611	0	0	0	0	0	0	0	0
Tb427_000675500	unitig_1902_Tb427v10	15843	17213	+	1371	0	0	0	0	2	0	0	0
Tb427_000756100:pseudogene	unitig_2332_Tb427v10	66869	68728	+	1860	81	32	10	8	14	45	12	26
Tb427_000150000:pseudogene	Chr11_3B_Tb427v10	173089	174516	-	1428	0	0	0	0	0	0	0	0
Tb427_000414900	Chr6_3A_Tb427v10	1137601	1138773	-	1173	0	0	0	0	0	0	0	0
Tb427_000730800	unitig_2198_Tb427v10	3722	8047	+	4326	16	13	2	8	4	6	6	0
Tb427_000438700:pseudogene	Chr6_3B_Tb427v10	597508	598473	-	966	0	0	0	0	0	0	0	0
Tb427_020008000	Chr2_core_Tb427v10	105330	105656	-	327	31	1	0	0	0	0	1	0
Tb427_030050800	Chr3_core_Tb427v10	1203672	1204946	-	1275	0	0	0	0	0	0	2	0
Tb427_000700100	unitig_2014_Tb427v10	6174	6689	+	516	0	2	0	0	0	0	0	0
Tb427_110051300	Chr11_core_Tb427v10	1300551	1303889	+	3339	0	0	0	0	0	0	0	0
Tb427_080050000	Chr8_core_Tb427v10	1218337	1220241	-	1905	0	0	0	0	0	0	2	2
Tb427_000617700:pseudogene	Chr9_5A_Tb427v10	58738	60249	+	1512	0	0	0	0	0	0	0	0
Tb427_000779300:pseudogene	unitig_2481_Tb427v10	20739	22390	+	1652	0	0	0	0	2	6	2	4
Tb427_110189400	Chr11_core_Tb427v10	4606232	4606588	-	357	0	2	0	0	7	14	2	2
Tb427_040049100	Chr4_core_Tb427v10	1199444	1200226	-	783	0	27	5	0	9	14	2	8
Tb427_000689900	unitig_1947_Tb427v10	13734	15263	+	1530	0	4	0	2	71	58	1544	2984
Tb427_000723300	unitig_2169_Tb427v10	13855	14226	+	372	0	0	0	0	0	0	0	0
Tb427_110093000	Chr11_core_Tb427v10	2379234	2380952	+	1719	0	0	0	0	0	6	0	0
Tb427_000705700:pseudogene	unitig_2080_Tb427v10	50893	51310	+	418	0	0	0	0	0	0	0	0
Tb427_000642600:pseudogene	unitig_173_Tb427v10	840	2422	+	1583	2	4	18	2	2	9	2	0
Tb427_100032700	Chr10_core_Tb427v10	686152	686562	+	411	0	0	0	0	0	0	0	0
Tb427_000095500:pseudogene	Chr10_3B_Tb427v10	604895	607600	-	2706	0	0	0	0	0	0	0	0
Tb427_060018600	Chr6_core_Tb427v10	425864	426766	-	903	0	2	0	0	0	0	0	0
Tb427_000590700:pseudogene	Chr9_3A_Tb427v10	1186601	1188127	-	1527	0	0	0	0	0	0	0	0
Tb427_060023800	Chr6_core_Tb427v10	522731	525319	-	2589	48	2	10	6	0	13	2	0
Tb427_050039800	Chr5_core_Tb427v10	1103368	1117446	-	14079	4	5	8	3	20	11	17	0
Tb427_000306900:pseudogene	Chr4_3A_Tb427v10	55646	57064	-	1419	0	2	0	0	6	7	24	4
Tb427_030044000	Chr3_core_Tb427v10	1020816	1022573	-	1758	54	6	6	12	12	11	22	22
Tb427_000514500:pseudogene	Chr8_5A_Tb427v10	424447	425786	+	1340	0	0	0	0	1	23	3	3
Tb427_050025400	Chr5_core_Tb427v10	648655	652158	+	3504	22	0	0	0	0	0	2	0
Tb427_000394700:pseudogene	Chr6_3A_Tb427v10	492448	493841	-	1394	0	0	0	0	0	0	0	0
Tb427_080020500	Chr8_core_Tb427v10	446961	448526	-	1566	0	4	0	0	0	2	0	0
Tb427_000327500	Chr4_3A_Tb427v10	690641	692138	-	1498	0	0	0	0	0	0	6	15
Tb427_000180900:pseudogene	Chr1_3A_Tb427v10	176994	178292	-	1299	0	0	0	0	3	8	6	12
Tb427_000408000:pseudogene	Chr6_3A_Tb427v10	928287	929726	-	1440	0	0	0	0	0	0	4	11
Tb427_000636300:pseudogene	unitig_148_Tb427v10	53820	55677	+	1858	0	0	0	0	0	0	0	0
Tb427_000768900:pseudogene	unitig_2453_Tb427v10	12645	12962	-	318	0	0	0	0	0	0	0	0
Tb427_000424400	Chr6_3B_Tb427v10	116941	118329	-	1389	0	0	0	0	0	0	0	0
Tb427_110113000	Chr11_core_Tb427v10	2779663	2779782	+	120	0	0	0	0	1	0	0	0
Tb427_030024000	Chr3_core_Tb427v10	486808	489570	+	2763	0	0	0	0	20	0	0	0
Tb427_100080400	Chr10_core_Tb427v10	1873661	1876513	-	2853	0	0	0	2	0	6	0	4
Tb427_090064000	Chr9_core_Tb427v10	1468883	1471306	-	2424	0	6	0	0	7	0	0	0
Tb427_040039900	Chr4_core_Tb427v10	856365	856874	-	510	0	0	0	0	0	0	0	0
Tb427_100170900	Chr10_core_Tb427v10	3999373	3999477	+	105	0	0	0	0	0	0	0	3
Tb427_090011800	Chr9_core_Tb427v10	180013	181263	-	1251	0	0	0	0	0	0	0	0
Tb427_080047300	Chr8_core_Tb427v10	1140795	1145864	-	5070	0	0	0	0	0	0	0	0
Tb427_000215300	Chr1_3A_Tb427v10	1209901	1210500	+	600	0	0	0	0	0	0	0	0
Tb427_100037400	Chr10_core_Tb427v10	822024	822947	+	924	0	1	1	1	3	14	2	13
Tb427_010008400	Chr1_core_Tb427v10	97856	99118	+	1263	0	0	0	0	0	0	0	2
Tb427_030006500	Chr3_core_Tb427v10	49375	51129	-	1755	106	1	0	0	1	0	0	0
Tb427_080084800	Chr8_core_Tb427v10	2194015	2196981	+	2967	0	80	20	0	22	2	0	2
Tb427_040028000	Chr4_core_Tb427v10	595445	596353	+	909	0	0	0	2	0	0	2	1
Tb427_000133400:pseudogene	Chr11_3A_Tb427v10	728572	729973	-	1402	0	0	0	0	0	0	0	0
Tb427_040050500	Chr4_core_Tb427v10	1218704	1219513	-	810	16	5	0	4	0	3	2	8
Tb427_110018300	Chr11_core_Tb427v10	371157	380153	+	8997	33	71	25	11	69	91	23	27
Tb427_000549300:pseudogene	Chr9_3A_Tb427v10	18440	19042	+	603	0	0	0	0	0	0	0	0
Tb427_030017100	Chr3_core_Tb427v10	329818	331869	-	2052	0	0	0	0	0	10	0	0
Tb427_000534900:pseudogene	Chr8_5B_Tb427v10	330555	332201	+	1647	0	0	0	0	0	0	2	24
Tb427_000711400:pseudogene	unitig_2119_Tb427v10	27977	29931	-	1955	0	0	0	0	0	0	0	0
Tb427_000830400	unitig_316_Tb427v10	64539	65489	+	951	0	0	0	0	0	0	0	0
Tb427_000196500	Chr1_3A_Tb427v10	658556	660139	-	1584	0	0	0	0	0	0	0	0
Tb427_100068700	Chr10_core_Tb427v10	1626122	1626499	+	378	0	0	0	0	0	0	0	0
Tb427_000589400	Chr9_3A_Tb427v10	1153133	1154263	-	1131	0	0	0	0	0	0	0	0
Tb427_090074400	Chr9_core_Tb427v10	1692223	1692284	+	62	0	0	0	0	0	0	0	0
Tb427_110119100	Chr11_core_Tb427v10	2803100	2804254	+	1155	0	0	0	0	0	0	0	3
Tb427_000766700:pseudogene	unitig_2452_Tb427v10	2164	2522	-	359	0	0	0	0	0	0	0	0
Tb427_000367000:pseudogene	Chr5_3B_Tb427v10	11113	12017	+	905	2	0	3	0	0	0	0	0
Tb427_000838300	unitig_51_Tb427v10	2431	4503	-	2073	1	0	2	0	0	0	0	10
Tb427_000071800	Chr10_3A_Tb427v10	1506841	1508397	-	1557	0	0	0	0	0	0	0	0
Tb427_000060500	Chr10_3A_Tb427v10	1128065	1128643	+	579	0	0	0	0	0	0	0	0
Tb427_070018700	Chr7_core_Tb427v10	356061	357527	+	1467	0	2	0	0	0	0	0	6
Tb427_000474300:pseudogene	Chr7_5A_Tb427v10	606831	607709	+	879	0	0	0	0	0	0	0	0
Tb427_000391400:pseudogene	Chr6_3A_Tb427v10	397088	398393	-	1306	0	0	0	0	0	0	0	0
Tb427_110190000	Chr11_core_Tb427v10	4623203	4623526	-	324	0	0	0	0	2	8	0	2
Tb427_110036300	Chr11_core_Tb427v10	852118	854043	-	1926	0	12	0	0	0	1	2	0
Tb427_000202000:pseudogene	Chr1_3A_Tb427v10	806854	808385	-	1532	0	0	0	0	0	0	0	0
Tb427_020022500	Chr2_core_Tb427v10	544501	544956	-	456	0	0	0	0	0	0	0	0
Tb427_100041600	Chr10_core_Tb427v10	945340	946848	-	1509	0	0	0	0	5	2	0	1
Tb427_010019500	Chr1_core_Tb427v10	421604	422005	+	402	2	0	0	0	0	0	4	0
